task_id	doc	cpp_file	cpp_lines	rust_target	depends	status	acceptance	notes
#AI_BASE.WBS.003	ai-base.md	game/AI/CoreAI/CombatAI.cpp	309	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.004	ai-base.md	game/AI/CoreAI/CombatAI.h	107	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.005	ai-base.md	game/AI/CoreAI/GameObjectAI.cpp	42	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.006	ai-base.md	game/AI/CoreAI/GameObjectAI.h	134	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.007	ai-base.md	game/AI/CoreAI/GuardAI.cpp	69	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.008	ai-base.md	game/AI/CoreAI/GuardAI.h	37	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.009	ai-base.md	game/AI/CoreAI/PassiveAI.cpp	119	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.010	ai-base.md	game/AI/CoreAI/PassiveAI.h	93	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.011	ai-base.md	game/AI/CoreAI/PetAI.cpp	651	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 651 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_BASE.WBS.012	ai-base.md	game/AI/CoreAI/PetAI.h	75	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.013	ai-base.md	game/AI/CoreAI/ReactorAI.cpp	32	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.014	ai-base.md	game/AI/CoreAI/ReactorAI.h	33	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.015	ai-base.md	game/AI/CoreAI/ScheduledChangeAI.cpp	22	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.016	ai-base.md	game/AI/CoreAI/ScheduledChangeAI.h	40	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.017	ai-base.md	game/AI/CoreAI/TotemAI.cpp	87	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.018	ai-base.md	game/AI/CoreAI/TotemAI.h	39	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.019	ai-base.md	game/AI/CoreAI/UnitAI.cpp	401	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.020	ai-base.md	game/AI/CoreAI/UnitAI.h	182	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.021	ai-base.md	game/AI/CoreAI/UnitAICommon.cpp	186	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.022	ai-base.md	game/AI/CoreAI/UnitAICommon.h	117	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.023	ai-base.md	game/AI/CoreAI/enuminfo_UnitAICommon.cpp	73	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.024	ai-base.md	game/AI/PlayerAI/PlayerAI.cpp	1307	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1307 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_BASE.WBS.025	ai-base.md	game/AI/PlayerAI/PlayerAI.h	113	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.026	ai-base.md	game/AI/ScriptedAI/ScriptedCreature.cpp	714	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 714 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_BASE.WBS.027	ai-base.md	game/AI/ScriptedAI/ScriptedCreature.h	428	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.028	ai-base.md	game/AI/ScriptedAI/ScriptedEscortAI.cpp	431	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.029	ai-base.md	game/AI/ScriptedAI/ScriptedEscortAI.h	100	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.030	ai-base.md	game/AI/ScriptedAI/ScriptedFollowerAI.cpp	294	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.031	ai-base.md	game/AI/ScriptedAI/ScriptedFollowerAI.h	73	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.032	ai-base.md	game/AI/ScriptedAI/ScriptedGossip.cpp	74	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.033	ai-base.md	game/AI/ScriptedAI/ScriptedGossip.h	103	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.001	ai-smartscripts.md	game/AI/SmartScripts/SmartAI.cpp	1259	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1259 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.002	ai-smartscripts.md	game/AI/SmartScripts/SmartAI.h	354	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.003	ai-smartscripts.md	game/AI/SmartScripts/SmartScript.cpp	4253	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 4253 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.004	ai-smartscripts.md	game/AI/SmartScripts/SmartScript.h	152	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.005	ai-smartscripts.md	game/AI/SmartScripts/SmartScriptMgr.cpp	2497	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 2497 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI_SMARTSCRIPTS.WBS.006	ai-smartscripts.md	game/AI/SmartScripts/SmartScriptMgr.h	1769	`crates/wow-script`, `crates/wow-ai`, `crates/wow-conditions`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1769 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AI.WBS.001	ai.md	game/AI/AIException.h	35	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.002	ai.md	game/AI/CreatureAI.cpp	464	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.003	ai.md	game/AI/CreatureAI.h	260	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.004	ai.md	game/AI/CreatureAIFactory.h	49	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.005	ai.md	game/AI/CreatureAIImpl.h	102	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.006	ai.md	game/AI/CreatureAIRegistry.cpp	63	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.007	ai.md	game/AI/CreatureAIRegistry.h	25	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.008	ai.md	game/AI/CreatureAISelector.cpp	190	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.009	ai.md	game/AI/CreatureAISelector.h	44	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.010	ai.md	game/AI/GameObjectAIFactory.h	47	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI.WBS.011	ai.md	game/AI/SelectableAI.h	45	`crates/wow-ai`, `crates/wow-script`, `crates/wow-scripts`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AUCTIONHOUSE.WBS.001	auctionhouse.md	game/AuctionHouse/AuctionHouseMgr.cpp	1923	`crates/wow-world`, `crates/wow-database`, `crates/wow-packet`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1923 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AUCTIONHOUSE.WBS.002	auctionhouse.md	game/AuctionHouse/AuctionHouseMgr.h	430	`crates/wow-world`, `crates/wow-database`, `crates/wow-packet`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AUCTIONHOUSEBOT.WBS.001	auctionhousebot.md	game/AuctionHouseBot/AuctionHouseBot.cpp	559	`crates/wow-ahbot`, `crates/wow-world`, `crates/wow-config`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 559 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#AUCTIONHOUSEBOT.WBS.002	auctionhousebot.md	game/AuctionHouseBot/AuctionHouseBot.h	321	`crates/wow-ahbot`, `crates/wow-world`, `crates/wow-config`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
