id	kind	status	depends_on	cpp_refs	rust_targets	acceptance	rollback_or_parking	notes
#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS.BONUS_SELECTOR	implementation	complete	#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/item_bonus.rs; crates/wow-data/src/lib.rs	17 item bonus/level-selector/limit/name/set/spec exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data item_bonus	Followed by economy/collection subbatch
#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS.COLLECTIONS	implementation	complete	#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/item_collections.rs; crates/wow-data/src/lib.rs	13 economy/collection/cosmetic/battle-pet exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data item_collections	Followed by artifact/azerite subbatch
#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS.ARTIFACT_AZERITE	implementation	complete	#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/artifact_azerite.rs; crates/wow-data/src/lib.rs	22 artifact/azerite exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data artifact_azerite	Items/Collections exact-file scope complete
#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION.CHARACTER	implementation	complete	#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/character_progression.rs; crates/wow-data/src/lib.rs	18 character/class/race/customization/power/namegen exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data character_progression	Followed by trait tree subbatch
#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION.TRAIT_TREE	implementation	complete	#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/trait_tree.rs; crates/wow-data/src/lib.rs	23 trait tree exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data trait_tree	Followed by progression rewards subbatch
#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION.PROGRESSION_REWARDS	implementation	complete	#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/progression_rewards.rs; crates/wow-data/src/lib.rs	23 quest/reward/criteria/faction/curve/scaling exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data progression_rewards	Followed by skill/talent/PvP/glyph/journal subbatch
#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION.SKILL_TALENT	implementation	complete	#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/skill_talent.rs; crates/wow-data/src/lib.rs	17 skill/talent/PvP/glyph/journal exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data skill_talent	Followed by Spell* subbatch
#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION.SPELL_DB2	implementation	complete	#NEXT.L1.DB2.STORES.004_PLAYER_SPELLS_PROGRESSION	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/spell_db2.rs; crates/wow-data/src/lib.rs	38 Spell* exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data spell_db2	Player/Spells/Progression exact-file scope complete; consumer wiring and hotfix overlays remain downstream runtime work
#NEXT.L1.DB2.STORES.005_MISC_GENERATED	implementation	complete	#NEXT.L1.DB2.STORES	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/misc_generated.rs; crates/wow-data/src/lib.rs	59 remaining generated/misc exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data misc_generated	No C++ DB2Storage exact-file gaps remain; consumer wiring and hotfix overlays remain downstream runtime work
#NEXT.L1.DB.PREP.MAP_SPAWNS	implementation	complete	#NEXT.L1.INFRA.001.c	/home/server/woltk-trinity-legacy/src/server/game/Globals/ObjectMgr.cpp:2167; /home/server/woltk-trinity-legacy/src/server/game/Globals/ObjectMgr.cpp:2449; /home/server/woltk-trinity-legacy/src/server/game/Globals/ObjectMgr.cpp:2492; /home/server/woltk-trinity-legacy/src/server/game/Globals/AreaTriggerDataStore.cpp:312	crates/wow-database/src/statements/world.rs; crates/wow-map/src/spawn.rs	creature/gameobject/areatrigger spawn SQL is global preload SQL, not per-cell SQL; SpawnStore indexes creature/gameobject GUIDs with personal phase variant and static areatriggers with AreaTriggerDataStore location index	cargo test -p wow-map; cargo test -p wow-database	AreaTriggerDataStore does not use ObjectMgr personal phase map in C++
