id	kind	status	depends_on	cpp_refs	rust_targets	acceptance	rollback_or_parking	notes
#NEXT.L3.MAPS.008b	implementation	complete	#NEXT.L3.MAPS.008a	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp:225; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h:2611	crates/wow-data/src/map.rs; crates/wow-world/src/session.rs; crates/wow-world/src/handlers/character.rs; crates/world-server/src/main.rs	WorldSession receives the canonical wow_map::MapManager and login binds non-instanced world maps through the C++ CreateMap decision core; MapEntry helper classification now mirrors C++ IsDungeon/IsBattlegroundOrArena/IsGarrison/IsSplitByFaction	cargo test -p wow-data map::tests::map_entry_classification_matches_cpp_helpers; cargo test -p wow-world canonical_world_map_login_binding; cargo check -p world-server	Dungeons, battlegrounds and garrisons intentionally remain blocked until real Player/Group/InstanceLockMgr/Battleground/Garrison runtime fields exist
#NEXT.L3.MAPS.009a	implementation	complete	#NEXT.L3.MAPS.006; #NEXT.L3.MAPS.009	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:190; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:530; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:934	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs; crates/wow-entities/src/object_accessor.rs	Map::add_to_map_like_cpp and remove_from_map_like_cpp bind canonical Map-owned object store to C++ AddToMap/AddToGrid/RemoveFromMap basics: coordinate/map validation, active-object grid load, grid creation, world/grid cell GUID placement/removal, AddToWorld/RemoveFromWorld/current-cell/reset-map/is-new lifecycle	cargo test -p wow-map map::tests::add_to_map_like_cpp; cargo test -p wow-map map::tests::remove_from_map_like_cpp; cargo test -p wow-map map::tests	Visibility packet emission, relocation visitors and runtime wow-world tick migration remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009b	implementation	complete	#NEXT.L3.MAPS.009a	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1015; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1419	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	Map::relocate_map_object_like_cpp ports the C++ cell relocation core: same-cell position update, same-grid cell move, active/player diff-grid load+move, normal object unloaded-grid block without mutation, and canonical store/cell/current-cell updates	cargo test -p wow-map map::tests::relocate_map_object_like_cpp; cargo test -p wow-map	Player/Creature relocation notifiers, visibility packet emission, AI relocation worker and delayed move lists remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009c	implementation	complete	#NEXT.L3.MAPS.009b	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:622; /home/server/woltk-trinity-legacy/src/server/game/Grids/Cells/CellImpl.h:46	crates/wow-map/src/cell.rs; crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	Cell::CalculateCellArea and Map::VisitNearbyCellsOf no-create cell scan are represented as calculate_cell_area_like_cpp and nearby_cell_guids_like_cpp over existing grids, returning canonical world/grid GUID sets without loading new grids	cargo test -p wow-map cell::tests::calculate_cell_area; cargo test -p wow-map map::tests::nearby_cell_guids; cargo test -p wow-map	ObjectUpdater visitors, visibility diff packets and AI relocation workers remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009d	implementation	complete	#NEXT.L3.MAPS.009c	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:24; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:137	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	PlayerRelocationNotifier visible/out-of-range/reciprocal-player/AI-check shape is represented as PlayerRelocationVisibilityPlan over canonical nearby GUIDs and previous client GUIDs	cargo test -p wow-map map::tests::player_relocation_visibility_plan; cargo test -p wow-map	Actual UpdateData packet building, SendInitialVisiblePackets, transport passenger special case and AI CanSeeOrDetect execution remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009e	implementation	complete	#NEXT.L3.MAPS.009d	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:171; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:184	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	CreatureRelocationNotifier player visibility update and AI relocation worker direction shape is represented as CreatureRelocationVisibilityPlan, including source-alive gate and reverse creature check suppression for targets needing visibility notify	cargo test -p wow-map map::tests::creature_relocation_visibility_plan; cargo test -p wow-map	Actual player UpdateVisibilityOf packet effects, CreatureUnitRelocationWorker CanSeeOrDetect/AI execution and delayed relocation traversal remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009f	implementation	complete	#NEXT.L3.MAPS.009e	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:198; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:214	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	DelayedUnitRelocation selection shape is represented as DelayedUnitRelocationPlan: creatures needing NOTIFY_VISIBILITY_CHANGED schedule creature relocation, players whose seer needs notify schedule player relocation, and invalid non-self viewpoints are skipped	cargo test -p wow-map map::tests::delayed_unit_relocation_plan; cargo test -p wow-map	Actual nested Cell::VisitAllObjects execution, SendToSelf, transport passenger special case and AI/visibility side effects remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009g	implementation	complete	#NEXT.L3.MAPS.009f	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:230	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	AIRelocationNotifier creature visit direction shape is represented as AIRelocationPlan: each nearby creature checks against the source unit, and creature sources also check the reverse source-vs-nearby direction	cargo test -p wow-map map::tests::ai_relocation_plan; cargo test -p wow-map	Actual CreatureUnitRelocationWorker CanSeeOrDetect/AI execution remains under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009h	implementation	complete	#NEXT.L3.MAPS.009c	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:695; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:259	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	ObjectUpdater nearby selection shape is represented as ObjectUpdatePlan: updateable nearby world/grid object GUIDs are selected only when the canonical Map-owned object is still IsInWorld	cargo test -p wow-map map::tests::object_update_plan_for_nearby_like_cpp; cargo test -p wow-map	Actual per-type Update(diff), player session update, farsight/combat/aura/summon extra visits and SendObjectUpdates remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009i	implementation	complete	#NEXT.L3.MAPS.009h	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:666	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	Map::Update source selection is represented as MapUpdateVisitPlan: in-world map-ref players schedule session/player update and nearby visits, viewpoints and far combat/aura/summon sources are gated under their active player, active non-players schedule nearby visits, transports schedule direct updates, and relocation notify processing follows the C++ map-ref/active-non-player collection gate	cargo test -p wow-map map::tests::map_update_visit_plan_like_cpp; cargo test -p wow-map	Actual session Update, Player::Update, per-object Update(diff), respawns, weather, scripts, phase tracker update, movement-list execution and SendObjectUpdates remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009j	implementation	complete	#NEXT.L3.MAPS.009f; #NEXT.L3.MAPS.009i	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:830	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	ProcessRelocationNotifies timer/cell selection is represented as RelocationNotifyProcessPlan: active grids tick relocation timers, expired grids schedule delayed relocation for marked cells, then reset timers and schedule ResetNotifier over the same marked cells	cargo test -p wow-map map::tests::process_relocation_notifies_plan_like_cpp; cargo test -p wow-map	Actual ResetAllNotifies flag mutation and nested DelayedUnitRelocation execution remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009k	implementation	complete	#NEXT.L3.MAPS.009b	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1239; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1296; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1340; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:1379	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	MoveAll*InMoveList decision flow is represented as MapObjectMoveListPlan: active entries attempt canonical relocation, inactive/none entries reset, out-of-world entries skip, creatures/gameobjects fall back to respawn relocation then remove/pet-remove, and dynamic objects/area triggers only report unloaded-grid blockage	cargo test -p wow-map map::tests::process_map_object_move_list_like_cpp; cargo test -p wow-map	Actual vehicle passenger relocation, AfterRelocation, UpdatePositionData/UpdateShape, UpdateObjectVisibility and object remove-list execution remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009l	implementation	complete	#NEXT.L3.MAPS.009c; #NEXT.L3.MAPS.009i	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:622	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	VisitNearbyCellsOf marked-cell traversal is represented as NearbyCellVisitPlan: invalid centers skip, each center uses CalculateCellArea with explicit grid activation radius, cells already marked in this Map::Update pass are not revisited, and existing grid/world GUIDs are collected without loading grids	cargo test -p wow-map map::tests::visit_nearby_cells_of_like_cpp; cargo test -p wow-map	Runtime binding to real GetGridActivationRange and ObjectUpdater execution remains under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009m	implementation	complete	#NEXT.L3.MAPS.009j	/home/server/woltk-trinity-legacy/src/server/game/Entities/Object/ObjectDefines.h:77; /home/server/woltk-trinity-legacy/src/server/game/Entities/Object/Object.h:710; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:818	crates/wow-entities/src/object.rs; crates/wow-entities/src/object_accessor.rs; crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	NotifyFlags and ResetNotifier effects are represented: EntityObject supports C++ notify flag add/test/reset helpers and Map::reset_notify_flags_for_cells_like_cpp resets only players and creatures in selected cells	cargo test -p wow-entities object::tests::notify_flags_match_cpp_relocation_visibility_helpers; cargo test -p wow-map map::tests::reset_notify_flags_for_cells_like_cpp	Real integration into ProcessRelocationNotifies execution remains under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009n	implementation	complete	#NEXT.L3.MAPS.009f; #NEXT.L3.MAPS.009m	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:198; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:846	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	DelayedUnitRelocation cell selection now reads real Map-owned notify flags: selected cells produce creature/player relocation plans only for units/viewpoints with NOTIFY_VISIBILITY_CHANGED and preserve invalid non-self viewpoint skips	cargo test -p wow-map map::tests::delayed_unit_relocation_for_cells_like_cpp; cargo test -p wow-map	Actual nested CreatureRelocationNotifier/PlayerRelocationNotifier execution and SendToSelf remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009o	implementation	complete	#NEXT.L3.MAPS.009j; #NEXT.L3.MAPS.009m; #NEXT.L3.MAPS.009n	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp:830	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	ProcessRelocationNotifies orchestration is represented as ProcessRelocationNotifiesOutcome: active-grid timer/cell selection runs first, delayed relocation selection reads notify flags before reset, and ResetNotifier clears player/creature flags afterward	cargo test -p wow-map map::tests::process_relocation_notifies_like_cpp; cargo test -p wow-map	Actual CreatureRelocationNotifier/PlayerRelocationNotifier side effects, AI execution and packets remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.009p	implementation	complete	#NEXT.L3.MAPS.009d; #NEXT.L3.MAPS.009e; #NEXT.L3.MAPS.009n	/home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:137; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:171; /home/server/woltk-trinity-legacy/src/server/game/Grids/Notifiers/GridNotifiers.cpp:198	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	DelayedUnitRelocation execution planning now expands selected creature/player relocations into PlayerRelocationNotifier/CreatureRelocationNotifier visibility plans using canonical Map cells, MAX_VISIBILITY_DISTANCE plus combat reach, player previous-client GUID context and creature alive context	cargo test -p wow-map map::tests::delayed_unit_relocation_visibility_plans; cargo test -p wow-map	Actual UpdateData packet building, SendToSelf transport-passenger special case and CreatureUnitRelocationWorker AI execution remain under #NEXT.L3.MAPS.009/#013/#017/#021
#NEXT.L3.MAPS.008	implementation	pending	#NEXT.L3.MAPS.007	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.h	crates/wow-map; crates/wow-world	Bind CreateMap(uint32, Player*) decision tree to real Player/Group/InstanceLock/Battleground/DB2 models	cargo test -p wow-map; cargo test -p wow-world	Do not fake player/group/lock behavior
#NEXT.L3.MAPS.009	implementation	pending	#NEXT.L3.MAPS.006; #NEXT.L3.MAPS.007; #NEXT.L3.MAPS.008	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.h	crates/wow-map; crates/wow-world	legacy wow-world map_manager is replaced after new grid lifecycle is authoritative	cargo test -p wow-map; cargo test -p wow-world	No partial replacement that leaves dual map ownership
#NEXT.L3.MAPS.011	implementation	pending	#NEXT.L3.MAPS.010	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapUpdater.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapUpdater.h	crates/wow-map/src/manager.rs	Replace inline MapUpdater fallback with C++-equivalent queued worker pool when maps can be safely owned/shared for parallel update	cargo test -p wow-map	Do not introduce unsafe parallel mutation just to mimic C++ threads early
#NEXT.L3.MAPS.013	implementation	pending	#NEXT.L3.MAPS.009; #NEXT.L3.MAPS.012; #NEXT.L3.MAPS.006	/home/server/woltk-trinity-legacy/src/server/game/World/World.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp	crates/wow-world/src/session.rs; crates/world-server/src/main.rs	Remove WorldSession-local world ticks as source of truth after Map/Entity ownership can run creature/combat/visibility from canonical maps	cargo test -p wow-world; cargo test -p world-server	Do not mark the world update port complete while session-local creature/combat ticks still own behavior
